matchup,first_agent,second_agent,match_id,dict_size,random_seed,winner,loss_reason,turn,player,agent,required_start_char,edge_index,start_id,end_id,edge_count_before,edge_count_after,previous_word,word,start_char,end_char,next_required_start_char,elapsed_time_sec,timed_out,score,effective_depth,next_depth,adaptive_depth,pruned_count,evaluated_moves,chain_so_far
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,11,first,greedy,る,4330,63,46,1,0,,,る,ぷ,ぷ,3.7e-05,False,-5732.0,,,,,26,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,12,second,alpha_beta,ぷ,3191,46,63,21,20,,,ぷ,る,る,0.176693,False,362.0,4,4,True,476,20,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,13,first,greedy,る,4332,63,48,1,0,,,る,べ,べ,3.6e-05,False,-6327.0,,,,,25,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,14,second,alpha_beta,べ,3327,48,63,15,14,,,べ,る,る,0.176363,False,416.0,4,4,True,475,20,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,15,first,greedy,る,4294,63,10,1,0,,,る,ぐ,ぐ,3.4e-05,False,-6427.5,,,,,24,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,16,second,alpha_beta,ぐ,743,10,63,13,12,,,ぐ,る,る,0.200009,True,724.0,4,3,True,472,20,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,17,first,greedy,る,4326,63,42,1,0,,,る,び,び,3.5e-05,False,-7568.5,,,,,23,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,18,second,alpha_beta,び,2919,42,63,20,19,,,び,る,る,0.077248,False,7336.0,3,3,True,55,20,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,19,first,greedy,る,4320,63,36,1,0,,,る,ね,ね,9.6e-05,False,-8004.0,,,,,22,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,20,second,alpha_beta,ね,2511,36,63,10,9,,,ね,る,る,0.066981,False,7446.0,3,3,True,56,20,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,21,first,greedy,る,4339,63,55,3,2,,,る,む,む,5.8e-05,False,-8129.0,,,,,21,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,22,second,alpha_beta,む,3803,55,63,4,3,,,む,る,る,0.065722,False,7431.0,3,4,True,56,20,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,23,first,greedy,る,4339,63,55,2,1,,,る,む,む,3.2e-05,False,-8106.0,,,,,21,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,24,second,alpha_beta,む,3803,55,63,3,2,,,む,る,る,0.200012,True,922.0,4,3,True,335,14,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,25,first,greedy,る,4339,63,55,1,0,,,る,む,む,5.8e-05,False,-8083.0,,,,,21,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,26,second,alpha_beta,む,3803,55,63,2,1,,,む,る,る,0.048891,False,8736.0,3,3,True,54,20,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,27,first,greedy,る,4296,63,12,1,0,,,る,げ,げ,2.8e-05,False,-9372.0,,,,,20,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,28,second,alpha_beta,げ,879,12,63,4,3,,,げ,る,る,0.049336,False,9641.5,3,3,True,54,20,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,29,first,greedy,る,4343,63,59,2,1,,,る,ゆ,ゆ,2.7e-05,False,-10292.5,,,,,19,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,30,second,alpha_beta,ゆ,4075,59,63,11,10,,,ゆ,る,る,0.049337,False,9649.5,3,4,True,53,20,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,31,first,greedy,る,4343,63,59,1,0,,,る,ゆ,ゆ,2.8e-05,False,-10269.5,,,,,19,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,32,second,alpha_beta,ゆ,4075,59,63,10,9,,,ゆ,る,る,0.163083,False,1926.0,4,4,True,458,20,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,33,first,greedy,る,4312,63,28,5,4,,,る,つ,つ,2.5e-05,False,-10810.0,,,,,18,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,34,second,alpha_beta,つ,1967,28,63,8,7,,,つ,る,る,0.158403,False,1918.0,4,4,True,455,20,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ -> つ→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,35,first,greedy,る,4312,63,28,4,3,,,る,つ,つ,2.6e-05,False,-10787.0,,,,,18,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ -> つ→る -> る→つ
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,36,second,alpha_beta,つ,1967,28,63,7,6,,,つ,る,る,0.154641,False,1910.0,4,4,True,455,20,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ -> つ→る -> る→つ -> つ→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,37,first,greedy,る,4312,63,28,3,2,,,る,つ,つ,2.6e-05,False,-10764.0,,,,,18,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,38,second,alpha_beta,つ,1967,28,63,6,5,,,つ,る,る,0.154782,False,1902.0,4,4,True,455,20,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,39,first,greedy,る,4312,63,28,2,1,,,る,つ,つ,2.5e-05,False,-10741.0,,,,,18,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,40,second,alpha_beta,つ,1967,28,63,5,4,,,つ,る,る,0.157592,False,1902.0,4,4,True,472,20,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,41,first,greedy,る,4312,63,28,1,0,,,る,つ,つ,2.5e-05,False,-10718.0,,,,,18,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,42,second,alpha_beta,つ,1967,28,63,4,3,,,つ,る,る,0.149976,False,2104.0,4,4,True,453,20,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,43,first,greedy,る,4344,63,60,2,1,,,る,よ,よ,2.3e-05,False,-11887.5,,,,,17,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→よ
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,44,second,alpha_beta,よ,4143,60,63,3,2,,,よ,る,る,0.151692,False,2104.0,4,4,True,474,20,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→よ -> よ→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,45,first,greedy,る,4344,63,60,1,0,,,る,よ,よ,2.4e-05,False,-11864.5,,,,,17,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→よ -> よ→る -> る→よ
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,46,second,alpha_beta,よ,4143,60,63,2,1,,,よ,る,る,0.142582,False,3252.0,4,4,True,457,20,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→よ -> よ→る -> る→よ -> よ→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,47,first,greedy,る,4317,63,33,2,1,,,る,な,な,2.2e-05,False,-15005.5,,,,,16,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→よ -> よ→る -> る→よ -> よ→る -> る→な
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,48,second,alpha_beta,な,2307,33,63,11,10,,,な,る,る,0.143814,False,3252.0,4,4,True,468,20,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→よ -> よ→る -> る→よ -> よ→る -> る→な -> な→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,49,first,greedy,る,4317,63,33,1,0,,,る,な,な,2.2e-05,False,-14982.5,,,,,16,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→ぷ -> ぷ→る -> る→べ -> べ→る -> る→ぐ -> ぐ→る -> る→び -> び→る -> る→ね -> ね→る -> る→む -> む→る -> る→む -> む→る -> る→む -> む→る -> る→げ -> げ→る -> る→ゆ -> ゆ→る -> る→ゆ -> ゆ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→つ -> つ→る -> る→よ -> よ→る -> る→よ -> よ→る -> る→な -> な→る -> る→な
