matchup,first_agent,second_agent,match_id,dict_size,random_seed,winner,loss_reason,turn,player,agent,required_start_char,previous_word,word,start_char,end_char,next_required_start_char,elapsed_time_sec,timed_out,score,effective_depth,next_depth,adaptive_depth,pruned_count,evaluated_moves,chain_so_far
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,15,first,random,む,うちこむ,むさく,む,く,く,2e-06,False,0.0,,,,,,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ -> じゆつご -> ごぶさた -> たんだい -> いしがけ -> けいけんしや -> やごう -> うちこむ -> むさく
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,16,second,minimax,く,むさく,くむ,く,む,む,0.087102,False,114.0,3,3,True,,18,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ -> じゆつご -> ごぶさた -> たんだい -> いしがけ -> けいけんしや -> やごう -> うちこむ -> むさく -> くむ
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,17,first,random,む,くむ,むぼう,む,う,う,2e-06,False,0.0,,,,,,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ -> じゆつご -> ごぶさた -> たんだい -> いしがけ -> けいけんしや -> やごう -> うちこむ -> むさく -> くむ -> むぼう
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,18,second,minimax,う,むぼう,うたげ,う,げ,げ,0.111686,False,73.5,3,3,True,,20,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ -> じゆつご -> ごぶさた -> たんだい -> いしがけ -> けいけんしや -> やごう -> うちこむ -> むさく -> くむ -> むぼう -> うたげ
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,19,first,random,げ,うたげ,げかい,げ,い,い,2e-06,False,0.0,,,,,,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ -> じゆつご -> ごぶさた -> たんだい -> いしがけ -> けいけんしや -> やごう -> うちこむ -> むさく -> くむ -> むぼう -> うたげ -> げかい
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,20,second,minimax,い,げかい,いくら,い,ら,ら,0.105201,False,62.0,3,3,True,,20,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ -> じゆつご -> ごぶさた -> たんだい -> いしがけ -> けいけんしや -> やごう -> うちこむ -> むさく -> くむ -> むぼう -> うたげ -> げかい -> いくら
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,21,first,random,ら,いくら,らんぐ,ら,ぐ,ぐ,2e-06,False,0.0,,,,,,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ -> じゆつご -> ごぶさた -> たんだい -> いしがけ -> けいけんしや -> やごう -> うちこむ -> むさく -> くむ -> むぼう -> うたげ -> げかい -> いくら -> らんぐ
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,22,second,minimax,ぐ,らんぐ,ぐるうぷほおむ,ぐ,む,む,0.009683,False,114.0,3,3,True,,4,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ -> じゆつご -> ごぶさた -> たんだい -> いしがけ -> けいけんしや -> やごう -> うちこむ -> むさく -> くむ -> むぼう -> うたげ -> げかい -> いくら -> らんぐ -> ぐるうぷほおむ
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,23,first,random,む,ぐるうぷほおむ,むくわれる,む,る,る,1e-06,False,0.0,,,,,,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ -> じゆつご -> ごぶさた -> たんだい -> いしがけ -> けいけんしや -> やごう -> うちこむ -> むさく -> くむ -> むぼう -> うたげ -> げかい -> いくら -> らんぐ -> ぐるうぷほおむ -> むくわれる
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,24,second,minimax,る,むくわれる,るり,る,り,り,0.008982,False,22.0,3,3,True,,4,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ -> じゆつご -> ごぶさた -> たんだい -> いしがけ -> けいけんしや -> やごう -> うちこむ -> むさく -> くむ -> むぼう -> うたげ -> げかい -> いくら -> らんぐ -> ぐるうぷほおむ -> むくわれる -> るり
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,25,first,random,り,るり,りきゆう,り,う,う,2e-06,False,0.0,,,,,,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ -> じゆつご -> ごぶさた -> たんだい -> いしがけ -> けいけんしや -> やごう -> うちこむ -> むさく -> くむ -> むぼう -> うたげ -> げかい -> いくら -> らんぐ -> ぐるうぷほおむ -> むくわれる -> るり -> りきゆう
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,26,second,minimax,う,りきゆう,うく,う,く,く,0.071316,False,28.0,3,3,True,,20,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ -> じゆつご -> ごぶさた -> たんだい -> いしがけ -> けいけんしや -> やごう -> うちこむ -> むさく -> くむ -> むぼう -> うたげ -> げかい -> いくら -> らんぐ -> ぐるうぷほおむ -> むくわれる -> るり -> りきゆう -> うく
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,27,first,random,く,うく,くうふく,く,く,く,3e-06,False,0.0,,,,,,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ -> じゆつご -> ごぶさた -> たんだい -> いしがけ -> けいけんしや -> やごう -> うちこむ -> むさく -> くむ -> むぼう -> うたげ -> げかい -> いくら -> らんぐ -> ぐるうぷほおむ -> むくわれる -> るり -> りきゆう -> うく -> くうふく
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,28,second,minimax,く,くうふく,くよう,く,う,う,0.063564,False,23.0,3,3,True,,16,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ -> じゆつご -> ごぶさた -> たんだい -> いしがけ -> けいけんしや -> やごう -> うちこむ -> むさく -> くむ -> むぼう -> うたげ -> げかい -> いくら -> らんぐ -> ぐるうぷほおむ -> むくわれる -> るり -> りきゆう -> うく -> くうふく -> くよう
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,29,first,random,う,くよう,うつる,う,る,る,5e-06,False,0.0,,,,,,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ -> じゆつご -> ごぶさた -> たんだい -> いしがけ -> けいけんしや -> やごう -> うちこむ -> むさく -> くむ -> むぼう -> うたげ -> げかい -> いくら -> らんぐ -> ぐるうぷほおむ -> むくわれる -> るり -> りきゆう -> うく -> くうふく -> くよう -> うつる
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,30,second,minimax,る,うつる,るみのおる,る,る,る,0.001702,False,159.5,3,3,True,,3,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ -> じゆつご -> ごぶさた -> たんだい -> いしがけ -> けいけんしや -> やごう -> うちこむ -> むさく -> くむ -> むぼう -> うたげ -> げかい -> いくら -> らんぐ -> ぐるうぷほおむ -> むくわれる -> るり -> りきゆう -> うく -> くうふく -> くよう -> うつる -> るみのおる
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,31,first,random,る,るみのおる,るぽるたあじゆ,る,ゆ,ゆ,1e-06,False,0.0,,,,,,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ -> じゆつご -> ごぶさた -> たんだい -> いしがけ -> けいけんしや -> やごう -> うちこむ -> むさく -> くむ -> むぼう -> うたげ -> げかい -> いくら -> らんぐ -> ぐるうぷほおむ -> むくわれる -> るり -> りきゆう -> うく -> くうふく -> くよう -> うつる -> るみのおる -> るぽるたあじゆ
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,32,second,minimax,ゆ,るぽるたあじゆ,ゆらぐ,ゆ,ぐ,ぐ,0.004535,False,537.5,3,3,True,,6,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ -> じゆつご -> ごぶさた -> たんだい -> いしがけ -> けいけんしや -> やごう -> うちこむ -> むさく -> くむ -> むぼう -> うたげ -> げかい -> いくら -> らんぐ -> ぐるうぷほおむ -> むくわれる -> るり -> りきゆう -> うく -> くうふく -> くよう -> うつる -> るみのおる -> るぽるたあじゆ -> ゆらぐ
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,33,first,random,ぐ,ゆらぐ,ぐんぶ,ぐ,ぶ,ぶ,1e-06,False,0.0,,,,,,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ -> じゆつご -> ごぶさた -> たんだい -> いしがけ -> けいけんしや -> やごう -> うちこむ -> むさく -> くむ -> むぼう -> うたげ -> げかい -> いくら -> らんぐ -> ぐるうぷほおむ -> むくわれる -> るり -> りきゆう -> うく -> くうふく -> くよう -> うつる -> るみのおる -> るぽるたあじゆ -> ゆらぐ -> ぐんぶ
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,34,second,minimax,ぶ,ぐんぶ,ぶんぴ,ぶ,ぴ,ぴ,0.001408,False,537.5,3,3,True,,8,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ -> じゆつご -> ごぶさた -> たんだい -> いしがけ -> けいけんしや -> やごう -> うちこむ -> むさく -> くむ -> むぼう -> うたげ -> げかい -> いくら -> らんぐ -> ぐるうぷほおむ -> むくわれる -> るり -> りきゆう -> うく -> くうふく -> くよう -> うつる -> るみのおる -> るぽるたあじゆ -> ゆらぐ -> ぐんぶ -> ぶんぴ
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,35,first,random,ぴ,ぶんぴ,ぴんちひつたあ,ぴ,あ,あ,1e-06,False,0.0,,,,,,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ -> じゆつご -> ごぶさた -> たんだい -> いしがけ -> けいけんしや -> やごう -> うちこむ -> むさく -> くむ -> むぼう -> うたげ -> げかい -> いくら -> らんぐ -> ぐるうぷほおむ -> むくわれる -> るり -> りきゆう -> うく -> くうふく -> くよう -> うつる -> るみのおる -> るぽるたあじゆ -> ゆらぐ -> ぐんぶ -> ぶんぴ -> ぴんちひつたあ
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,36,second,minimax,あ,ぴんちひつたあ,あつためる,あ,る,る,0.019529,False,1000000.0,3,3,True,,20,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ -> じゆつご -> ごぶさた -> たんだい -> いしがけ -> けいけんしや -> やごう -> うちこむ -> むさく -> くむ -> むぼう -> うたげ -> げかい -> いくら -> らんぐ -> ぐるうぷほおむ -> むくわれる -> るり -> りきゆう -> うく -> くうふく -> くよう -> うつる -> るみのおる -> るぽるたあじゆ -> ゆらぐ -> ぐんぶ -> ぶんぴ -> ぴんちひつたあ -> あつためる
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,37,first,random,る,あつためる,るうきい,る,い,い,1e-06,False,0.0,,,,,,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ -> じゆつご -> ごぶさた -> たんだい -> いしがけ -> けいけんしや -> やごう -> うちこむ -> むさく -> くむ -> むぼう -> うたげ -> げかい -> いくら -> らんぐ -> ぐるうぷほおむ -> むくわれる -> るり -> りきゆう -> うく -> くうふく -> くよう -> うつる -> るみのおる -> るぽるたあじゆ -> ゆらぐ -> ぐんぶ -> ぶんぴ -> ぴんちひつたあ -> あつためる -> るうきい
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,38,second,minimax,い,るうきい,いらいら,い,ら,ら,0.002351,False,1000000.0,3,3,True,,20,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ -> じゆつご -> ごぶさた -> たんだい -> いしがけ -> けいけんしや -> やごう -> うちこむ -> むさく -> くむ -> むぼう -> うたげ -> げかい -> いくら -> らんぐ -> ぐるうぷほおむ -> むくわれる -> るり -> りきゆう -> うく -> くうふく -> くよう -> うつる -> るみのおる -> るぽるたあじゆ -> ゆらぐ -> ぐんぶ -> ぶんぴ -> ぴんちひつたあ -> あつためる -> るうきい -> いらいら
random vs monte_carlo,random,monte_carlo,D1000_seed0_random_vs_monte_carlo_0,1000,0,second,no_legal_move,1,first,random,ANY,,ないない,な,い,い,5.1e-05,False,0.0,,,,,,ないない
random vs monte_carlo,random,monte_carlo,D1000_seed0_random_vs_monte_carlo_0,1000,0,second,no_legal_move,2,second,monte_carlo,い,ないない,いくら,い,ら,ら,0.013646,False,0.7,,,,,,ないない -> いくら
random vs monte_carlo,random,monte_carlo,D1000_seed0_random_vs_monte_carlo_0,1000,0,second,no_legal_move,3,first,random,ら,いくら,らんぐ,ら,ぐ,ぐ,1e-06,False,0.0,,,,,,ないない -> いくら -> らんぐ
random vs monte_carlo,random,monte_carlo,D1000_seed0_random_vs_monte_carlo_0,1000,0,second,no_legal_move,4,second,monte_carlo,ぐ,らんぐ,ぐるうぷほおむ,ぐ,む,む,0.001667,False,0.7,,,,,,ないない -> いくら -> らんぐ -> ぐるうぷほおむ
random vs monte_carlo,random,monte_carlo,D1000_seed0_random_vs_monte_carlo_0,1000,0,second,no_legal_move,5,first,random,む,ぐるうぷほおむ,むね,む,ね,ね,1e-06,False,0.0,,,,,,ないない -> いくら -> らんぐ -> ぐるうぷほおむ -> むね
random vs monte_carlo,random,monte_carlo,D1000_seed0_random_vs_monte_carlo_0,1000,0,second,no_legal_move,6,second,monte_carlo,ね,むね,ねばねば,ね,ば,ば,0.005303,False,0.6,,,,,,ないない -> いくら -> らんぐ -> ぐるうぷほおむ -> むね -> ねばねば
random vs monte_carlo,random,monte_carlo,D1000_seed0_random_vs_monte_carlo_0,1000,0,second,no_legal_move,7,first,random,ば,ねばねば,ばらあど,ば,ど,ど,1e-06,False,0.0,,,,,,ないない -> いくら -> らんぐ -> ぐるうぷほおむ -> むね -> ねばねば -> ばらあど
random vs monte_carlo,random,monte_carlo,D1000_seed0_random_vs_monte_carlo_0,1000,0,second,no_legal_move,8,second,monte_carlo,ど,ばらあど,どうじつ,ど,つ,つ,0.008911,False,0.8,,,,,,ないない -> いくら -> らんぐ -> ぐるうぷほおむ -> むね -> ねばねば -> ばらあど -> どうじつ
random vs monte_carlo,random,monte_carlo,D1000_seed0_random_vs_monte_carlo_0,1000,0,second,no_legal_move,9,first,random,つ,どうじつ,つもる,つ,る,る,1e-06,False,0.0,,,,,,ないない -> いくら -> らんぐ -> ぐるうぷほおむ -> むね -> ねばねば -> ばらあど -> どうじつ -> つもる
random vs monte_carlo,random,monte_carlo,D1000_seed0_random_vs_monte_carlo_0,1000,0,second,no_legal_move,10,second,monte_carlo,る,つもる,るり,る,り,り,0.001637,False,0.6,,,,,,ないない -> いくら -> らんぐ -> ぐるうぷほおむ -> むね -> ねばねば -> ばらあど -> どうじつ -> つもる -> るり
random vs monte_carlo,random,monte_carlo,D1000_seed0_random_vs_monte_carlo_0,1000,0,second,no_legal_move,11,first,random,り,るり,りくるうと,り,と,と,1e-06,False,0.0,,,,,,ないない -> いくら -> らんぐ -> ぐるうぷほおむ -> むね -> ねばねば -> ばらあど -> どうじつ -> つもる -> るり -> りくるうと
random vs monte_carlo,random,monte_carlo,D1000_seed0_random_vs_monte_carlo_0,1000,0,second,no_legal_move,12,second,monte_carlo,と,りくるうと,とうりやく,と,く,く,0.007337,False,0.7,,,,,,ないない -> いくら -> らんぐ -> ぐるうぷほおむ -> むね -> ねばねば -> ばらあど -> どうじつ -> つもる -> るり -> りくるうと -> とうりやく
random vs monte_carlo,random,monte_carlo,D1000_seed0_random_vs_monte_carlo_0,1000,0,second,no_legal_move,13,first,random,く,とうりやく,くらべる,く,る,る,2e-06,False,0.0,,,,,,ないない -> いくら -> らんぐ -> ぐるうぷほおむ -> むね -> ねばねば -> ばらあど -> どうじつ -> つもる -> るり -> りくるうと -> とうりやく -> くらべる
random vs monte_carlo,random,monte_carlo,D1000_seed0_random_vs_monte_carlo_0,1000,0,second,no_legal_move,14,second,monte_carlo,る,くらべる,るうきい,る,い,い,0.001196,False,0.6,,,,,,ないない -> いくら -> らんぐ -> ぐるうぷほおむ -> むね -> ねばねば -> ばらあど -> どうじつ -> つもる -> るり -> りくるうと -> とうりやく -> くらべる -> るうきい
random vs monte_carlo,random,monte_carlo,D1000_seed0_random_vs_monte_carlo_0,1000,0,second,no_legal_move,15,first,random,い,るうきい,いしがけ,い,け,け,2e-06,False,0.0,,,,,,ないない -> いくら -> らんぐ -> ぐるうぷほおむ -> むね -> ねばねば -> ばらあど -> どうじつ -> つもる -> るり -> りくるうと -> とうりやく -> くらべる -> るうきい -> いしがけ
random vs monte_carlo,random,monte_carlo,D1000_seed0_random_vs_monte_carlo_0,1000,0,second,no_legal_move,16,second,monte_carlo,け,いしがけ,けいそつ,け,つ,つ,0.004242,False,0.6,,,,,,ないない -> いくら -> らんぐ -> ぐるうぷほおむ -> むね -> ねばねば -> ばらあど -> どうじつ -> つもる -> るり -> りくるうと -> とうりやく -> くらべる -> るうきい -> いしがけ -> けいそつ
random vs monte_carlo,random,monte_carlo,D1000_seed0_random_vs_monte_carlo_0,1000,0,second,no_legal_move,17,first,random,つ,けいそつ,つゆあけ,つ,け,け,2e-06,False,0.0,,,,,,ないない -> いくら -> らんぐ -> ぐるうぷほおむ -> むね -> ねばねば -> ばらあど -> どうじつ -> つもる -> るり -> りくるうと -> とうりやく -> くらべる -> るうきい -> いしがけ -> けいそつ -> つゆあけ
random vs monte_carlo,random,monte_carlo,D1000_seed0_random_vs_monte_carlo_0,1000,0,second,no_legal_move,18,second,monte_carlo,け,つゆあけ,けつ,け,つ,つ,0.004585,False,0.8,,,,,,ないない -> いくら -> らんぐ -> ぐるうぷほおむ -> むね -> ねばねば -> ばらあど -> どうじつ -> つもる -> るり -> りくるうと -> とうりやく -> くらべる -> るうきい -> いしがけ -> けいそつ -> つゆあけ -> けつ
random vs monte_carlo,random,monte_carlo,D1000_seed0_random_vs_monte_carlo_0,1000,0,second,no_legal_move,19,first,random,つ,けつ,ついとつ,つ,つ,つ,1e-06,False,0.0,,,,,,ないない -> いくら -> らんぐ -> ぐるうぷほおむ -> むね -> ねばねば -> ばらあど -> どうじつ -> つもる -> るり -> りくるうと -> とうりやく -> くらべる -> るうきい -> いしがけ -> けいそつ -> つゆあけ -> けつ -> ついとつ
random vs monte_carlo,random,monte_carlo,D1000_seed0_random_vs_monte_carlo_0,1000,0,second,no_legal_move,20,second,monte_carlo,つ,ついとつ,つど,つ,ど,ど,0.00259,False,0.8,,,,,,ないない -> いくら -> らんぐ -> ぐるうぷほおむ -> むね -> ねばねば -> ばらあど -> どうじつ -> つもる -> るり -> りくるうと -> とうりやく -> くらべる -> るうきい -> いしがけ -> けいそつ -> つゆあけ -> けつ -> ついとつ -> つど
random vs monte_carlo,random,monte_carlo,D1000_seed0_random_vs_monte_carlo_0,1000,0,second,no_legal_move,21,first,random,ど,つど,どじ,ど,じ,じ,1e-06,False,0.0,,,,,,ないない -> いくら -> らんぐ -> ぐるうぷほおむ -> むね -> ねばねば -> ばらあど -> どうじつ -> つもる -> るり -> りくるうと -> とうりやく -> くらべる -> るうきい -> いしがけ -> けいそつ -> つゆあけ -> けつ -> ついとつ -> つど -> どじ
random vs monte_carlo,random,monte_carlo,D1000_seed0_random_vs_monte_carlo_0,1000,0,second,no_legal_move,22,second,monte_carlo,じ,どじ,じゆういちがつ,じ,つ,つ,0.006147,False,0.8,,,,,,ないない -> いくら -> らんぐ -> ぐるうぷほおむ -> むね -> ねばねば -> ばらあど -> どうじつ -> つもる -> るり -> りくるうと -> とうりやく -> くらべる -> るうきい -> いしがけ -> けいそつ -> つゆあけ -> けつ -> ついとつ -> つど -> どじ -> じゆういちがつ
random vs monte_carlo,random,monte_carlo,D1000_seed0_random_vs_monte_carlo_0,1000,0,second,no_legal_move,23,first,random,つ,じゆういちがつ,つけもの,つ,の,の,1e-06,False,0.0,,,,,,ないない -> いくら -> らんぐ -> ぐるうぷほおむ -> むね -> ねばねば -> ばらあど -> どうじつ -> つもる -> るり -> りくるうと -> とうりやく -> くらべる -> るうきい -> いしがけ -> けいそつ -> つゆあけ -> けつ -> ついとつ -> つど -> どじ -> じゆういちがつ -> つけもの
